SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SHANTIGEAR, EQ, 01-Jan-2018, 162.95, 165.35, 165.35, 160.10, 160.15, 160.50, 162.26, 27633, 44.84, 598, 17199, 62.24
SHARDACROP, EQ, 01-Jan-2018, 449.90, 456.50, 460.00, 445.10, 448.20, 447.80, 451.06, 14187, 63.99, 569, 10086, 71.09
SHARDAMOTR, EQ, 01-Jan-2018, 2534.90, 2534.90, 2573.95, 2503.10, 2530.00, 2535.85, 2547.08, 3264, 83.14, 415, 1786, 54.72
SHARIABEES, EQ, 01-Jan-2018, 261.50, 258.05, 262.50, 258.00, 262.50, 262.50, 261.79, 3356, 8.79, 15, 3205, 95.50
SHARONBIO, BZ, 01-Jan-2018, 7.35, 7.00, 7.60, 7.00, 7.45, 7.15, 7.24, 66488, 4.82, 122, -, -
SHEMAROO, EQ, 01-Jan-2018, 422.25, 429.50, 447.95, 424.05, 435.00, 434.25, 437.49, 13566, 59.35, 778, 8406, 61.96
SHILPAMED, EQ, 01-Jan-2018, 619.10, 624.40, 624.40, 613.15, 613.25, 615.30, 618.39, 8595, 53.15, 427, 5982, 69.60
SHILPI, BZ, 01-Jan-2018, 12.50, 13.00, 13.10, 11.95, 13.10, 13.10, 12.95, 48713, 6.31, 257, -, -
SHIRPUR-G, EQ, 01-Jan-2018, 202.40, 202.50, 205.50, 196.00, 198.45, 197.50, 200.56, 10142, 20.34, 241, 6248, 61.61
SHIVAMAUTO, EQ, 01-Jan-2018, 91.95, 97.00, 101.75, 95.20, 99.00, 98.40, 99.11, 3142700, 3114.73, 23633, 914058, 29.09
SHIVATEX, BE, 01-Jan-2018, 528.65, 555.05, 555.05, 555.05, 555.05, 555.05, 555.05, 298, 1.65, 11, -, -
SHK, EQ, 01-Jan-2018, 298.50, 298.00, 300.90, 290.15, 292.00, 291.85, 296.08, 98449, 291.48, 2379, 64580, 65.60
SHOPERSTOP, EQ, 01-Jan-2018, 560.35, 567.00, 568.30, 549.10, 550.00, 551.00, 554.90, 45849, 254.42, 4709, 29099, 63.47
SHRADHA, SM, 01-Jan-2018, 70.05, 71.20, 71.25, 70.25, 70.25, 70.25, 70.93, 16000, 11.35, 8, 10000, 62.50
SHREECEM, EQ, 01-Jan-2018, 18074.50, 18074.50, 18154.90, 17869.85, 17920.00, 17929.05, 17935.80, 3570, 640.31, 1009, 1708, 47.84
